tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro;;
250,00;9,80;11,8;1,99;0;;
251,00;9,30;11,5;1,99;0;;
253,00;9,40;11,9;1,99;0;;
254,00;9,30;12;1,99;0;;
255,00;8,90;11,7;1,99;0;;
256,00;9,30;11,8;1,99;0;;
257,00;8,90;11,8;1,99;0;;
259,00;9,30;11,9;1,99;0;;
260,00;9,30;11,9;1,99;0;;
261,00;8,80;11,4;1,99;0;;
262,00;9,20;11,9;1,99;0;;
263,00;9,30;11,7;1,99;0;;
264,00;9,70;11,9;1,99;0;;
265,00;9,40;11,7;1,99;0;;
266,00;9,50;11,9;1,99;0;;
267,00;9,30;11,9;1,99;0;;
268,00;9,20;11,8;1,99;0;;
269,00;9,40;12;1,99;0;;
271,00;9,40;12;1,99;0;;
272,00;9,30;11,8;1,99;0;;
273,00;9,00;12;1,99;0;;
274,00;9,10;11,9;1,99;0;;
275,00;9,10;12;1,99;0;;
277,00;9,40;11,6;1,99;0;;
278,00;9,50;11,9;1,99;0;;
279,00;9,30;11,8;1,99;0;;
280,00;9,50;11,8;1,99;0;;
281,00;9,20;11,9;1,99;0;;
282,00;9,40;12;1,99;0;;
283,00;9,30;11,9;1,99;0;;
284,00;9,40;12;1,99;0;;
285,00;9,20;11,9;1,99;0;;
287,00;9,30;12,1;1,99;0;;
288,00;9,20;12;1,99;0;;
289,00;9,40;12,1;1,99;0;;
290,00;9,30;11,9;1,99;0;;
291,00;9,40;11,9;1,99;0;;
292,00;9,60;11,9;1,99;0;;
293,00;9,50;12;1,99;0;;
295,00;9,50;11,9;1,99;0;;
296,00;9,40;11,9;1,99;0;;
297,00;9,90;12,1;1,99;0;;
298,00;9,40;11,7;1,99;0;;
299,00;9,10;12,1;1,99;0;;
300,00;9,20;11,6;1,99;0;;
301,00;9,30;12,1;1,99;0;;
302,00;9,30;12,2;1,99;0;;
303,00;9,30;11,9;1,99;0;;
304,00;9,40;11,8;1,99;0;;
305,00;9,50;11,8;1,99;0;;
306,00;9,50;11,9;1,99;0;;
307,00;9,20;11,9;1,99;0;;
308,00;9,70;12;1,99;0;;
309,00;9,00;12,1;1,99;0;;
