tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
103;6.4;5.9;1.50;0
104;6.6;6.2;1.50;0
105;6.1;6.1;1.50;0
106;6.1;6.2;1.50;0
107;6.3;6.3;1.50;0
108;6.5;6.2;1.50;0
109;6.3;6.1;1.50;0
111;6.6;6.3;1.50;0
112;6.5;6.2;1.50;0
113;6.5;6.2;1.50;0
114;6.4;6.2;1.50;0
115;7.5;6.3;1.50;0
117;6.3;6.4;1.50;0
118;6.4;6.3;1.50;0
119;6.5;6.3;1.50;0
120;6.8;6.5;1.50;0
121;6.0;6.4;1.50;0
122;6.1;6.4;1.50;0
123;6.4;6.3;1.50;0
124;6.7;6.3;1.50;0
125;6.1;6.4;1.50;0
126;6.2;6.4;1.50;0
127;7.0;6.4;1.50;0
129;6.6;6.5;1.50;0
130;6.6;6.4;1.50;0
131;6.4;6.5;1.50;0
132;6.6;6.6;1.50;0
133;7.2;6.4;1.50;0
134;6.6;6.4;1.50;0
135;6.4;6.5;1.50;0
136;6.1;6.5;1.50;0
137;6.4;6.5;1.50;0
138;6.9;6.5;1.50;0
139;6.6;6.6;1.50;0
141;6.3;6.6;1.50;0
142;6.6;6.7;1.50;0
143;6.9;6.4;1.50;0
144;6.5;6.6;1.50;0
145;6.5;6.6;1.50;0
146;6.6;6.4;1.50;0
147;6.5;6.5;1.50;0
148;6.9;6.5;1.50;0
149;6.5;6.6;1.50;0
150;6.5;6.7;1.50;0
151;6.9;6.9;1.50;0
152;6.7;6.7;1.50;0
153;6.5;6.9;1.50;0
154;6.5;6.6;1.50;0
155;6.6;6.6;1.50;0
156;6.8;6.7;1.50;0
158;6.6;6.7;1.50;0
159;6.7;6.8;1.50;0
160;6.9;6.7;1.50;0
161;7.0;6.7;1.50;0
162;6.8;6.8;1.50;0
163;6.6;6.8;1.50;0
164;7.0;6.7;1.50;0
165;6.7;6.8;1.50;0
166;6.6;6.8;1.6;2.2
167;6.8;6.9;1.8;2.4
168;7.2;7.1;2.4;2.4
169;7.5;7.1;2.8;2.1
171;7.8;7.3;3.2;1.3
175;8.8;8.4;3.8;0.3
176;9.3;8.4;3.8;0.0
177;10.0;9.0;3.7;-0.5
178;10.2;9.4;3.5;-1.0
179;10.2;9.5;3.4;-1.3
180;10.5;9.6;3.0;-1.3
181;11.1;9.7;2.7;-1.9
183;11.0;10.0;2.1;-1.7
184;11.1;9.7;1.8;-1.9
185;11.0;9.9;1.6;-1.8
186;11.0;9.8;1.4;-1.8
187;10.7;9.9;1.1;-1.5
189;10.2;9.3;0.6;-1.0
190;9.4;9.2;0.4;-0.2
191;9.2;9.0;0.4;0.0
193;8.9;8.9;0.4;0.2
194;8.2;8.6;0.5;0.4
195;8.2;8.4;0.7;0.9
196;7.7;8.2;1.0;1.4
197;7.8;8.1;1.2;1.2
198;7.9;8.1;1.3;1.2
199;7.8;8.1;1.6;1.3
200;7.8;8.0;1.8;1.3
201;8.2;8.3;2.2;0.9
202;7.7;8.1;2.4;1.4
203;7.9;8.4;2.6;1.2
204;8.0;8.6;2.7;0.8
205;8.7;8.5;2.8;0.7
206;8.8;8.5;2.9;0.3
207;8.8;8.8;3.0;0.0
208;8.9;8.9;3.0;0.2
209;9.3;9.4;3.0;-0.3
210;9.7;9.2;2.9;-0.4
211;10.1;9.6;2.7;-0.6
213;10.1;9.6;2.4;-1.0
214;10.3;9.9;2.3;-1.1
215;10.1;9.8;2.1;-1.3
216;10.7;9.7;2.0;-1.5
217;10.3;9.9;1.7;-1.1
219;10.2;9.6;1.3;-0.9
220;9.7;9.7;1.1;-0.5
221;9.5;9.6;1.0;-0.4
222;9.5;9.6;0.9;-0.3
223;9.2;9.3;0.8;-0.2
225;8.8;9.2;0.8;0.3
226;8.7;9.0;0.9;0.4
227;8.6;9.0;1.0;0.4
228;8.5;8.8;1.1;0.6
229;8.1;8.9;1.2;0.9
230;8.3;8.6;1.3;1.0
231;8.5;8.7;1.6;0.6
232;8.6;8.7;1.8;1.0
233;8.6;8.8;1.9;0.9
234;8.2;8.6;2.0;0.9
235;8.3;8.9;2.1;0.8
236;8.7;8.7;2.3;0.4
237;8.7;9.2;2.4;0.3
238;9.0;9.2;2.5;0.1
239;9.3;9.1;2.5;0.2
240;9.1;9.2;2.6;0.0
241;9.3;9.4;2.5;-0.3
