tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro;;
400;13;15.6;2.5;0;;
401;12.8;15.4;2.5;0;;
403;12.6;15.8;2.5;0;;
404;12.7;15.7;2.5;0;;
405;12.9;16;2.5;0;;
406;12.9;15.5;2.5;0;;
407;12.8;16;2.5;0;;
408;12.9;15.9;2.5;0;;
409;13;15.7;2.5;0;;
410;12.8;15.4;2.5;0;;
411;13;15.7;2.5;0;;
412;13.1;15.9;2.5;0;;
413;13.1;15.7;2.5;0;;
414;12.8;15.8;2.5;0;;
415;13.3;15.8;2.5;0;;
416;13.2;16.1;2.5;0;;
417;13.1;15.8;2.5;0;;
418;13.1;16.1;2.5;0;;
419;13.1;16;2.5;0;;
420;12.9;16;2.5;0;;
421;13.1;16.1;2.5;0;;
422;12.8;15.8;2.5;0;;
423;12.8;16.2;2.5;0;;
424;12.8;15.8;2.5;0;;
425;13.2;16.4;2.5;0;;
427;13.7;16;2.5;0;;
428;13;16.1;2.5;0;;
429;13.3;16.1;2.5;0;;
430;13.1;16;2.5;0;;
431;13.1;16.3;2.5;0;;
432;13;16.1;2.5;0;;
433;13.2;16.4;2.5;0;;
434;13;16.3;2.5;0;;
435;13.4;16.5;2.5;0;;
436;13.2;15.9;2.5;0;;
437;13.1;16.4;2.5;0;;
438;13;15.9;2.5;0;;
439;12.9;16.2;2.5;0;;
440;13.3;16;2.5;0;;
441;13.2;15.8;2.5;0;;
442;13.5;16.3;2.5;0;;
443;13.2;16.1;2.5;0;;
445;13.3;16.1;2.5;0;;
446;13;16.4;2.5;0;;
447;13;16.5;2.5;0;;
448;12.9;16.3;2.5;0;;
449;13.7;16.5;2.5;0;;
451;13.4;16.2;2.5;0;;
452;13.3;16.3;2.5;0;;
453;13.4;16.5;2.5;0;;
454;13.4;16;2.5;0;;
455;13.5;16.6;2.5;0;;
457;13.6;16.5;2.5;0;;
458;13.3;16.2;2.5;0;;
459;13.3;16.5;2.5;0;;
460;13.2;16.1;2.5;0;;
461;13.2;16.6;2.5;0;;
462;13.4;16.6;2.5;0;;
463;13.2;16.6;2.5;0;;
464;13.4;16.4;2.5;0;;
465;13.4;16.3;2.5;0;;
466;13.5;16.2;2.5;0;;
467;13;16.4;2.5;0;;
469;13.4;16.6;2.5;0;;
470;13.5;16.4;2.5;0;;
471;13.5;16.5;2.5;0;;
472;13;16.3;2.5;0;;
473;13.5;16.5;2.5;0;;
475;13.1;16.5;2.5;0;;
476;13.3;16.4;2.5;0;;
477;13.3;16.6;2.5;0;;
478;13.4;16.7;2.5;0;;
479;13.7;16.7;2.5;0;;
481;13.7;16.6;2.5;0;;
482;13.5;16.6;2.5;0;;
483;13.5;16.5;2.5;0;;
484;13.6;16.7;2.5;0;;
485;13.3;16.6;2.5;0;;
487;13.3;16.6;2.5;0;;
488;13.6;16.5;2.5;0;;
489;13.4;16.6;2.5;0;;
490;13.6;16.7;2.5;0;;
491;14;16.2;2.5;0;;
493;13.8;16.9;2.5;0;;
494;13.5;16.7;2.5;0;;
495;13.7;16.7;2.5;0;;
496;13.5;16.8;2.5;0;;
497;13.5;16.8;2.5;0;;
499;13.7;17;2.5;0;;
500;13.6;16.7;2.5;0;;
501;13.6;16.5;2.5;0;;
502;13.8;17;2.5;0;;
503;13.4;16.5;2.5;0;;
504;13.6;16.9;2.5;0;;
505;13.2;16.8;2.5;0;;
506;13.6;16.7;2.5;0;;
507;13.3;16.8;2.5;0;;
508;13.7;16.5;2.5;0;;
509;13.4;16.8;2.5;0;;
511;13.7;16.9;2.5;0;;
512;13.4;16.9;2.5;0;;
513;13.6;16.9;2.5;0;;
514;13.8;17;2.5;0;;
515;13.6;17.2;2.5;0;;
517;13.3;16.8;2.5;0;;
518;13.7;16.7;2.5;0;;
519;13.6;16.6;2.5;0;;
520;13.9;16.8;2.5;0;;
521;13.4;17;2.5;0;;
522;13.6;16.6;2.5;0;;
523;13.3;17;2.5;0;;
524;13.4;16.9;2.5;0;;
525;13.2;17.1;2.5;0;;
