tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
517;15.0;15.0;1.9;-1.6
518;14.4;14.8;1.9;-1.5
519;14.6;14.8;1.8;-0.9
520;14.5;14.6;1.8;-0.8
521;14.5;14.9;1.8;-1.1
522;14.5;14.7;1.7;-1.0
523;14.2;14.3;1.7;-0.7
524;13.9;14.2;1.7;-0.7
525;14.1;14.5;1.7;-0.3
526;13.4;14.1;1.6;-0.2
527;13.2;14.1;1.6;-0.1
528;13.5;13.7;1.6;-0.3
529;13.3;13.9;1.6;0.1
530;13.1;13.6;1.6;0.3
532;13.0;13.6;1.6;0.4
533;12.8;13.5;1.6;0.7
534;12.8;13.2;1.6;0.8
535;12.6;13.2;1.6;0.9
536;12.2;13.3;1.6;1.2
537;12.2;13.3;1.6;1.0
538;12.1;12.8;1.6;1.1
539;12.3;12.9;1.6;1.4
540;12.1;12.8;1.6;1.6
541;12.0;12.7;1.6;1.2
542;11.7;12.5;1.6;1.5
543;11.8;12.9;1.6;1.4
544;11.4;12.8;1.7;1.8
545;11.3;12.5;1.7;1.7
546;11.9;12.5;1.7;1.5
547;11.6;12.5;1.7;1.8
548;11.7;12.4;1.7;1.7
550;11.7;12.4;1.8;1.7
551;11.7;12.3;1.8;2.0
552;11.6;12.4;1.8;1.7
553;11.6;12.4;1.9;1.8
554;11.5;12.3;1.9;1.9
555;11.4;12.0;2.0;2.0
556;11.6;12.1;2.0;1.8
557;11.6;12.2;2.0;2.1
558;11.4;12.1;2.0;1.8
559;11.0;12.1;2.1;2.1
560;11.6;12.2;2.1;1.8
561;11.7;12.4;2.2;1.7
562;11.6;12.2;2.2;1.8
563;11.8;12.3;2.2;1.8
564;11.6;12.3;2.2;1.6
565;11.8;12.4;2.3;1.7
566;11.9;12.2;2.3;1.6
567;11.6;12.3;2.4;1.6
568;12.2;12.2;2.4;1.7
569;12.2;12.4;2.4;1.4
570;12.5;12.3;2.4;1.4
571;12.5;12.3;2.5;1.2
572;12.0;12.4;2.5;1.4
573;12.4;12.5;2.5;1.0
574;13.0;12.7;2.6;0.4
575;12.5;12.6;2.6;0.7
576;12.1;12.7;2.6;0.8
577;12.5;12.9;2.6;0.7
578;12.7;12.5;2.7;0.6
579;13.0;12.7;2.7;0.4
580;12.8;12.9;2.7;0.6
581;12.9;12.8;2.7;0.5
582;13.2;13.0;2.7;0.3
583;13.7;13.3;2.8;-0.1
584;13.4;13.4;2.8;0.0
585;13.6;13.3;2.8;-0.1
586;14.2;13.4;2.8;-0.7
587;13.6;13.4;2.8;-0.1
588;13.5;13.4;2.8;-0.2
589;14.0;13.4;2.8;-0.4
590;14.3;13.9;2.8;-0.8
591;14.1;13.7;2.8;-0.6
593;13.9;13.7;2.8;-0.4
594;14.6;13.9;2.8;-1.2
595;14.8;14.1;2.8;-1.3
596;14.4;14.1;2.8;-0.9
597;14.7;14.1;2.8;-1.0
598;14.4;14.2;2.8;-0.9
599;14.6;14.1;2.8;-1.2
600;14.9;14.1;2.7;-1.4
601;14.9;14.4;2.7;-1.5
602;15.0;14.4;2.7;-1.5
603;14.8;14.5;2.7;-1.3
604;15.0;14.7;2.7;-1.3
605;15.4;14.6;2.6;-1.4
606;15.2;14.8;2.6;-1.7
607;14.8;14.8;2.6;-1.5
608;15.0;14.6;2.6;-1.4
609;15.3;14.5;2.5;-1.7
610;15.1;14.8;2.5;-1.3
