tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
136;6.8;6.5;1.50;0
137;6.8;6.5;1.50;0
139;6.5;6.7;1.50;0
140;6.9;6.5;1.50;0
141;6.8;6.7;1.50;0
142;7.1;6.6;1.50;0
143;6.8;6.5;1.50;0
145;6.8;6.5;1.50;0
146;6.8;6.9;1.50;0
147;6.9;6.7;1.50;0
148;6.9;6.7;1.50;0
149;7.1;6.7;1.50;0
151;6.7;6.8;1.50;0
152;6.7;6.7;1.50;0
153;6.9;6.6;1.50;0
154;6.8;6.7;1.50;0
155;6.7;6.8;1.50;0
157;7.1;7.0;1.50;0
158;6.9;6.5;1.50;0
159;7.0;6.6;1.50;0
160;6.8;6.6;1.50;0
161;6.9;6.6;1.50;0
163;6.7;6.8;1.50;0
164;6.8;6.8;1.50;0
165;7.0;6.9;1.50;0
166;6.9;6.6;1.50;0
167;6.9;6.7;1.50;0
169;6.9;6.9;1.50;0
170;7.0;6.9;1.50;0
171;6.9;6.7;1.50;0
172;6.8;6.9;1.50;0
173;6.9;6.8;1.50;0
175;6.9;7.0;1.50;0
176;7.1;6.8;1.50;0
177;7.1;6.7;1.50;0
178;7.0;6.9;1.50;0
179;6.7;6.8;1.50;0
181;6.8;6.8;1.50;0
182;7.1;6.7;1.50;0
183;6.9;7.0;1.50;0
184;7.5;6.9;1.50;0
185;6.9;6.9;1.50;0
187;7.1;6.9;1.50;0
188;7.3;6.6;1.50;0
189;7.1;7.0;1.50;0
190;7.2;7.0;1.50;0
192;7.3;7.0;1.50;0
193;7.3;6.9;1.50;0
194;7.1;6.9;1.50;0
195;7.1;6.9;2.5;0.0
196;6.9;6.7;2.0;1.9
197;7.2;7.0;2.4;1.8
199;7.8;7.5;2.9;1.1
200;8.0;7.4;3.1;1.1
201;8.0;7.9;3.4;1.1
202;8.8;8.0;3.6;0.3
203;8.9;8.2;3.7;0.2
205;9.5;8.6;3.7;-0.2
206;9.9;8.8;3.6;-0.5
207;10.3;9.3;3.6;-0.8
208;10.5;9.5;3.3;-1.3
209;10.9;9.8;3.1;-1.7
211;10.9;9.7;2.7;-2.0
212;11.2;9.9;2.2;-2.0
213;11.2;10.0;1.9;-2.0
214;11.3;10.0;1.7;-1.9
215;11.3;10.0;1.3;-2.1
216;10.9;9.8;1.0;-1.8
217;10.6;9.6;0.6;-1.4
219;9.5;9.3;0.2;-0.8
223;8.1;7.9;0.3;1.0
224;7.6;7.7;0.5;1.5
225;7.4;7.6;0.8;1.8
226;7.1;7.5;1.2;2.0
227;7.3;7.4;1.6;2.0
229;7.3;7.7;2.2;1.8
230;7.5;7.6;2.5;1.6
231;7.6;7.7;2.7;1.5
232;7.9;8.0;3.1;1.0
233;8.6;8.3;3.3;0.6
235;9.5;8.5;3.5;0.1
236;9.0;8.7;3.5;0.1
237;9.5;8.9;3.5;-0.1
238;10.1;9.2;3.4;-0.9
239;10.5;9.4;3.3;-1.1
241;10.7;9.4;3.0;-1.4
242;10.5;9.5;2.7;-1.5
243;11.4;10.1;2.5;-1.7
244;11.3;9.9;2.0;-2.1
245;11.2;10.1;1.7;-1.4
247;10.9;9.8;1.2;-1.7
248;10.5;9.9;0.9;-1.3
249;10.2;9.6;0.6;-1.0
