tempoExperimento,alturaTanque1,alturaTanque2,tensaoBomba,erro
327,8.6,8.6,1.99,0
329,8.3,8.7,1.99,0
330,8.5,8.7,1.99,0
331,8.3,8.9,1.99,0
332,8.6,8.7,1.99,0
333,8.7,9.0,1.99,0
335,8.6,9.2,1.99,0
336,8.5,9.0,1.99,0
337,8.5,9.0,1.99,0
338,8.6,9.1,1.99,0
339,9.1,9.2,1.99,0
341,8.7,9.0,1.99,0
342,8.8,9.1,1.99,0
343,8.6,9.3,1.99,0
344,8.9,9.3,1.99,0
345,8.6,9.2,1.99,0
347,9.1,9.1,1.99,0
348,8.9,9.5,1.99,0
349,9.1,9.4,1.99,0
350,9.0,9.5,1.99,0
351,9.0,9.6,1.99,0
353,9.1,9.7,1.99,0
354,9.2,9.6,1.99,0
355,9.3,9.6,1.99,0
356,9.1,9.8,1.99,0
357,9.0,9.6,1.99,0
359,9.3,9.7,1.99,0
360,9.4,9.8,1.99,0
361,9.4,9.7,1.99,0
362,9.3,9.9,1.99,0
363,9.4,9.6,1.99,0
364,9.3,9.8,1.99,0
365,9.6,10.0,1.99,0
366,9.1,9.8,1.99,0
367,9.6,10.0,1.99,0
368,9.4,9.9,1.99,0
369,9.5,10.0,1.99,0
371,9.6,10.0,1.99,0
372,9.3,10.0,1.99,0
373,9.7,10.0,1.99,0
374,9.1,10.0,1.99,0
375,9.4,10.0,1.99,0
377,9.4,10.2,1.99,0
378,9.7,10.2,1.99,0
379,9.5,10.2,1.99,0
380,9.5,10.3,1.99,0
381,9.7,10.1,1.99,0
382,9.6,10.4,1.99,0
383,9.8,10.3,1.99,0
384,9.4,10.3,1.99,0
385,9.9,10.3,1.99,0
386,9.6,10.5,1.99,0
387,9.5,10.3,1.99,0
389,9.4,10.2,1.99,0
390,9.4,10.5,1.99,0
391,9.7,10.4,1.99,0
392,9.6,10.4,1.99,0
393,9.7,10.5,1.99,0
395,9.7,10.4,1.99,0
396,9.6,10.5,1.99,0
397,9.7,10.3,1.99,0
398,9.6,10.4,1.99,0
399,9.8,10.5,1.99,0
400,9.8,10.6,1.99,0
401,9.7,10.3,1.99,0
402,9.7,10.5,1.99,0
403,9.8,10.5,1.99,0
404,9.9,10.4,1.99,0
405,9.6,10.3,1.99,0
406,9.7,10.4,1.99,0
407,9.9,10.5,1.99,0
408,9.6,10.6,1.99,0
409,9.6,10.8,1.99,0
410,9.8,10.6,1.99,0
411,9.9,10.6,1.99,0
413,9.6,10.6,1.99,0
